Property,Month,Balance
6401Basswood,2023-01,"8,540.16"
4909Jamesway,2023-01,"5,321.93"
7417Canoga,2023-01,"1,769.53"
TrustChase,2023-01,"3,700.00"
MeadowSecurity,2023-02,150
TrustAccount,2023-02,"5,450.00"
1905Morning,2023-02,"1,590.73"
2417Garden,2023-02,"2,535.33"
108Pagoda,2023-02,"2,946.91"
2208Chase,2023-02,"6,574.68"
104Meadow,2023-02,75.9
108Meadow,2023-02,"3,090.68"
116Meadow,2023-02,"3,016.84"
116MeadowSavings,2023-02,"3,406.05"
1342Newton,2023-02,733.24
1316Rosemon,2023-02,"6,627.42"
874Wintergreen,2023-02,"3,812.03"
PagodaSecurity,2023-02,"18,221.84"
711Parks,2023-02,"3,634.97"
Midway,2023-02,"66,107.00"
1117Brewer,2023-02,"3,554.65"
Partnership,2023-02,"536,008.28"
8604Wagon,2023-02,"4,110.61"
114Sidney,2023-02,"3,751.14"
2224Heatherton,2023-02,"18,712.98"
